,"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
#NS heic,1_01_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA9o78FFNi/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_02_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_w42FXLx/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_03_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_xwzFlZ5/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_04_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_yYzFD2f/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_05_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_y9vlgN9/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_06_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_zneFdEI/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_07_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_0UAlxGb/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_08_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_1E9F1kn/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_09_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_1nClqRF/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_10_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_2gQFMN4/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_11_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_3NgFCAD/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_12_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_38zlvIe/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_13_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_4tqlyr2/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_14_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEA_5igFf7V/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_15_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEBLCsKlzxf/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_16_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEBLGgPF0Tf/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_17_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEBLHRdF-kW/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_18_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEBLIO8FV1H/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_19_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEBLI9GFTR9/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_20_1_com_cr_org_res_nfit,https://www.instagram.com/p/CEBLJmGlxEc/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_01_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA9o78FFNi/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_02_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_w42FXLx/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_03_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_xwzFlZ5/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_04_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_yYzFD2f/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_05_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_y9vlgN9/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_06_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_zneFdEI/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_07_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_0UAlxGb/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_08_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_1E9F1kn/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_09_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_1nClqRF/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_10_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_2gQFMN4/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_11_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_3NgFCAD/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_12_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_38zlvIe/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_13_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_4tqlyr2/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_14_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEA_5igFf7V/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
#NS heic,1_15_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CEBLCsKlzxf/?utm_source=ig_web_copy_link,1,heic,resized,iaslab_compressed_jpg,color
