image name,instagram caption,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info,
1_1_XYZ,YJ 1_1_XYZ,sdffff.instagram.com/dfsdf,1,jpg,Amaro,resized,iaslab_enhanced,비교
1_01_1_fil_cr_ins_nmo_nfit,YJ 1_01_1_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CCnB8GjljdL/,1,jpg,nfit,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Clar,YJ 1_01_1_fil_cr_ins_nmo_Clar,https://www.instagram.com/p/CCnFi1XFTP6/,1,jpg,Clarendon,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Ging,YJ 1_01_1_fil_cr_ins_nmo_Ging,https://www.instagram.com/p/CCnHl1RF7Hf/,1,jpg,Gingham,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Moon,YJ 1_01_1_fil_cr_ins_nmo_Moon,https://www.instagram.com/p/CCnHt4ilK0J/,1,jpg,Moon,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Lark,YJ 1_01_1_fil_cr_ins_nmo_Lark,https://www.instagram.com/p/CCnIBtQlUhz/,1,jpg,Lark,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Reye,YJ 1_01_1_fil_cr_ins_nmo_Reye,https://www.instagram.com/p/CCnIHaHF7fw/,1,jpg,Reyes,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Juno,YJ 1_01_1_fil_cr_ins_nmo_Juno,https://www.instagram.com/p/CCnITP0FnKV/,1,jpg,Juno,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Slum,YJ 1_01_1_fil_cr_ins_nmo_Slum,https://www.instagram.com/p/CCnIYomlZsQ/,1,jpg,Slumber,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Crem,YJ 1_01_1_fil_cr_ins_nmo_Crem,https://www.instagram.com/p/CCnIenXF13F/,1,jpg,Crema,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Ludw,YJ 1_01_1_fil_cr_ins_nmo_Ludw,https://www.instagram.com/p/CCnIk--FS5D/,1,jpg,Ludwig,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Aden,YJ 1_01_1_fil_cr_ins_nmo_Aden,https://www.instagram.com/p/CCnIrs7lCsS/,1,jpg,Aden,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Perp,YJ 1_01_1_fil_cr_ins_nmo_Perp,https://www.instagram.com/p/CCnIyEsF1dK/,1,jpg,Perpetua,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Amar,YJ 1_01_1_fil_cr_ins_nmo_Amar,https://www.instagram.com/p/CCnI3ocl3Qy/,1,jpg,Amaro,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Mayf,YJ 1_01_1_fil_cr_ins_nmo_Mayf,https://www.instagram.com/p/CCnI_StlpYe/,1,jpg,Mayfair,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Rise,YJ 1_01_1_fil_cr_ins_nmo_Rise,https://www.instagram.com/p/CCnJEupFOvC/,1,jpg,Rise,original,iaslab_enhanced,
