instagram caption,image name,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info,
YJ 6_01_1_fil_cr_ins_nmo_nfit,6_01_1_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIoH1PJsvG/,6,jpg,nfit,original,iaslab_filt_1,
6_01_2_fil_cr_ins_nmo_nfit,6_01_2_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIoH1PJsvG/,6,jpg,nfit,original,iaslab_filt_1,
6_01_3_fil_cr_ins_nmo_nfit,6_01_3_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIoH1PJsvG/,6,jpg,nfit,original,iaslab_filt_1,
6_01_4_fil_cr_ins_nmo_nfit,6_01_4_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIoH1PJsvG/,6,jpg,nfit,original,iaslab_filt_1,
6_01_5_fil_cr_ins_nmo_nfit,6_01_5_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIoH1PJsvG/,6,jpg,nfit,original,iaslab_filt_1,
6_01_6_fil_cr_ins_nmo_nfit,6_01_6_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIoH1PJsvG/,6,jpg,nfit,original,iaslab_filt_1,
YJ 6_02_1_fil_cr_ins_nmo_nfit,6_02_1_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIooCopJSD/,6,jpg,nfit,original,iaslab_filt_1,
6_02_2_fil_cr_ins_nmo_nfit,6_02_2_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIooCopJSD/,6,jpg,nfit,original,iaslab_filt_1,
6_02_3_fil_cr_ins_nmo_nfit,6_02_3_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIooCopJSD/,6,jpg,nfit,original,iaslab_filt_1,
6_02_4_fil_cr_ins_nmo_nfit,6_02_4_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CDIooCopJSD/,6,jpg,nfit,original,iaslab_filt_1,
